Date,AMD,AN,AZO,BK,CBRE,CF,CLF,CSX,D,DD,DRI,ES,ETN,GE,GNW,GS,HBAN,HD,ICE,IGT,ITT,JEF,KDP,KO,MCHP,MTB,NDAQ,ORLY,OXY,PEG,PSA,PWR,RF,SHW,SPG,SYK,SYY,TAP,TDC,TGNA,TPR,TROW,TXN,WBA,YUM
2010-01-04,9.699999809265137,19.270000457763672,158.02999877929688,19.934789657592773,13.819999694824219,13.094992637634277,40.20939636230469,4.151451587677002,20.679466247558594,27.942136764526367,19.28013038635254,15.384533882141113,21.746845245361328,53.808074951171875,12.050000190734863,132.64996337890625,2.2305898666381836,19.93324851989746,19.48967933654785,12.490585327148438,13.508477210998535,16.054298400878906,3.1969187259674072,17.818317413330078,9.817564964294434,43.36501693725586,5.469264507293701,38.5,51.51716232299805,18.900449752807617,45.89488220214844,20.858009338378906,3.643451452255249,17.36729621887207,38.69332504272461,43.082489013671875,18.25362777709961,31.669326782226562,30.8700008392334,5.4944562911987305,23.949630737304688,33.10807800292969,17.562402725219727,22.70243263244629,18.789491653442383
2010-01-05,9.710000038146973,19.56999969482422,156.7100067138672,20.146194458007812,14.149999618530273,13.307454109191895,40.82659912109375,4.2610578536987305,20.4246883392334,29.186994552612305,19.197494506835938,15.33081340789795,21.61836814880371,54.08669662475586,12.729999542236328,134.99514770507812,2.279080390930176,20.079248428344727,18.755815505981445,12.179591178894043,13.317638397216797,16.30727767944336,3.1595659255981445,17.602773666381836,9.662796974182129,44.141578674316406,5.485476970672607,38.560001373291016,51.14519500732422,18.883590698242188,46.27289962768555,20.946392059326172,3.7644526958465576,16.956134796142578,38.428558349609375,43.48720932006836,18.175668716430664,31.290014266967773,30.989999771118164,5.813027381896973,24.239845275878906,33.479305267333984,17.46111488342285,22.51984214782715,18.72523307800293
2010-01-06,9.569999694824219,20.31999969482422,155.24000549316406,19.84318733215332,14.029999732971191,13.862101554870605,42.23613739013672,4.27465295791626,20.445919036865234,29.704092025756836,19.080984115600586,15.527813911437988,21.52370262145996,53.808074951171875,13.020000457763672,133.5542755126953,2.3396944999694824,20.00973129272461,18.177356719970703,11.970144271850586,13.233125686645508,16.813232421875,3.229877233505249,17.596519470214844,9.582051277160645,45.6170768737793,5.48277473449707,38.38999938964844,51.75895690917969,18.78241729736328,45.99224853515625,21.54542350769043,3.811506986618042,16.73365592956543,37.99711227416992,44.15625762939453,18.227643966674805,31.25553321838379,30.649999618530273,5.881038665771484,24.714752197265625,32.95591354370117,17.332822799682617,22.349424362182617,18.59137535095215
2010-01-07,9.470000267028809,20.68000030517578,157.3000030517578,20.68172836303711,14.170000076293945,13.722369194030762,41.602264404296875,4.244914531707764,20.47776985168457,29.723228454589844,19.25853157043457,15.503938674926758,21.841516494750977,56.59427261352539,13.399999618530273,136.167724609375,2.6003334522247314,20.246110916137695,18.672931671142578,12.293829917907715,13.30400562286377,16.709444046020508,3.1947214603424072,17.552793502807617,9.531583786010742,47.31904983520508,5.409815311431885,38.27000045776367,51.37458038330078,18.529521942138672,45.92926788330078,21.869489669799805,4.147620677947998,16.882917404174805,38.49230194091797,45.63473892211914,18.24713706970215,30.731395721435547,30.299999237060547,6.042110919952393,24.72793960571289,32.93157196044922,17.386838912963867,22.483320236206055,18.586013793945312
2010-01-08,9.430000305175781,20.690000534057617,155.27999877929688,20.808568954467773,14.199999809265137,14.01751708984375,44.3045768737793,4.45053243637085,20.46715545654297,29.828577041625977,18.936723709106445,15.545727729797363,22.33177375793457,57.81321334838867,13.100000381469727,133.59259033203125,2.557903528213501,20.148775100708008,18.73163604736328,12.211325645446777,13.808363914489746,16.664045333862305,3.1716508865356445,17.227907180786133,9.588778495788574,47.78499221801758,5.466561794281006,37.93000030517578,51.90153884887695,18.47893714904785,45.09303283691406,21.466859817504883,4.154343605041504,17.026533126831055,37.570560455322266,45.7751579284668,18.13020133972168,30.68999671936035,30.790000915527344,5.999156475067139,24.58282470703125,32.80376434326172,17.78522491455078,22.51375389099121,18.59137535095215
2010-01-11,9.140000343322754,20.450000762939453,155.47999572753906,20.449195861816406,14.0600004196167,14.00183391571045,44.10439682006836,4.4063520431518555,20.769710540771484,29.45510482788086,18.88678550720215,15.64721393585205,23.352848052978516,58.3704719543457,13.15999984741211,131.4849395751953,2.624579429626465,19.578664779663086,18.735095977783203,12.56040096282959,13.849258422851562,16.76782989501953,3.150778293609619,17.577775955200195,9.575325012207031,47.331993103027344,5.480072498321533,38.130001068115234,51.43037414550781,18.568859100341797,45.402313232421875,20.602689743041992,4.2484540939331055,16.79279899597168,37.6048698425293,45.63473892211914,18.091230392456055,31.041736602783203,31.040000915527344,6.174550533294678,25.275394439697266,33.035037994384766,17.555648803710938,22.550264358520508,18.91265106201172
2010-01-12,8.649999618530273,20.0,155.13999938964844,20.48442840576172,13.579999923706055,13.501361846923828,41.902503967285156,4.3086395263671875,20.66353988647461,29.550872802734375,18.798009872436523,15.611392974853516,23.055315017700195,58.40531921386719,12.979999542236328,128.61862182617188,2.5518436431884766,19.453516006469727,18.256790161132812,12.414421081542969,13.557546615600586,16.456472396850586,3.0991435050964355,17.768335342407227,9.417192459106445,46.393638610839844,5.385496139526367,38.849998474121094,49.69452667236328,18.45083999633789,44.66345977783203,20.21969985961914,4.2013983726501465,16.73365592956543,36.86455535888672,45.601688385009766,17.99378776550293,31.15207862854004,30.3700008392334,5.870298385620117,25.4600887298584,33.22370529174805,16.819656372070312,22.361595153808594,19.271411895751953
2010-01-13,9.149999618530273,19.90999984741211,154.75,20.639448165893555,13.949999809265137,13.534159660339355,42.995121002197266,4.33497953414917,20.78031349182129,29.445539474487305,18.92562484741211,15.754672050476074,23.291988372802734,58.61426544189453,13.210000038146973,129.57662963867188,2.6124560832977295,19.557798385620117,18.583145141601562,12.458853721618652,13.88197135925293,16.631610870361328,3.1266086101531982,17.815181732177734,9.497941970825195,47.64262390136719,5.436837196350098,38.97999954223633,49.36595916748047,18.574481964111328,45.54550552368164,20.258983612060547,4.27534294128418,16.94768714904785,37.23716354370117,45.816436767578125,18.18866729736328,31.276226043701172,30.270000457763672,5.888195991516113,25.242414474487305,33.552345275878906,16.893939971923828,22.568538665771484,19.330657958984375
2010-01-14,9.0,19.530000686645508,154.3800048828125,20.611263275146484,13.479999542236328,13.287484169006348,43.161930084228516,4.295044422149658,20.75908851623535,29.234865188598633,19.84665870666504,15.754672050476074,23.33256721496582,58.161495208740234,13.609999656677246,129.1627655029297,2.673070192337036,19.675996780395508,18.9267635345459,12.953901290893555,14.010106086730957,16.521333694458008,3.131002426147461,17.84642791748047,9.430649757385254,48.755680084228516,5.471964359283447,38.790000915527344,49.75032424926758,18.445215225219727,45.31640625,19.09038734436035,4.403066158294678,17.04625701904297,37.403865814208984,46.27074432373047,18.30559730529785,31.441743850708008,30.3799991607666,5.805869102478027,24.734535217285156,33.345420837402344,16.684616088867188,22.586790084838867,19.540714263916016
2010-01-15,8.84000015258789,19.18000030517578,155.0800018310547,20.456239700317383,13.380000114440918,13.60545539855957,41.49382781982422,4.251710414886475,20.621082305908203,28.717788696289062,19.585887908935547,15.491994857788086,22.906539916992188,57.256004333496094,13.390000343322754,126.61830139160156,2.594273090362549,19.863723754882812,18.48126220703125,12.877745628356934,14.018284797668457,16.093223571777344,3.124410629272461,17.58402442932129,9.215322494506836,47.344940185546875,5.447646617889404,38.209999084472656,48.92579650878906,18.332813262939453,45.23047637939453,18.71721839904785,4.38289737701416,16.668888092041016,36.717464447021484,46.27898025512695,18.27311134338379,31.158985137939453,30.079999923706055,5.762914180755615,24.266220092773438,32.62116622924805,16.542823791503906,22.276378631591797,19.21216583251953
